BorrowerOccupation,BorrowerGender,NetMonthlySalary,BorrowerPostalCode,BorrowerDistrict,BorrowerPlanningArea,BorrowerID
CLEANER,M,1541,109703.0,4.0,BUKIT MERAH,6544
CLERICAL,M,1841,679049.0,23.0,BUKIT PANJANG,4568
TECHNICIAN,M,1216,229740.0,9.0,NEWTON,8058
CLEANER,M,1411,649815.0,22.0,JURONG WEST,3831
SERVICE,M,1454,519493.0,18.0,PASIR RIS,7797
PLANT AND MACHINE,M,1612,670510.0,23.0,BUKIT PANJANG,4050
CLEANER,F,1263,269262.0,10.0,BUKIT TIMAH,6780
SECURITY,M,1472,249570.0,10.0,TANGLIN,5118
SECURITY,F,1687,436914.0,15.0,KALLANG,5601
CRAFTS,F,1176,229809.0,9.0,NEWTON,4409
SERVICE,F,1066,238307.0,9.0,RIVER VALLEY,7317
SERVICE,F,957,550528.0,19.0,SERANGOON,5105
SERVICE,F,1104,237973.0,9.0,ORCHARD,7650
CLEANER,M,1008,465526.0,16.0,BEDOK,4056
SECURITY,F,2065,459610.0,15.0,BEDOK,6500
SERVICE,M,1165,287665.0,11.0,BUKIT TIMAH,7236
CLERICAL,F,1932,427711.0,15.0,MARINE PARADE,6231
CLEANER,M,1095,269259.0,10.0,BUKIT TIMAH,7135
SECURITY,M,1794,311141.0,12.0,TOA PAYOH,7469
CLERICAL,M,2044,158748.0,3.0,BUKIT MERAH,7081
SERVICE,M,1135,544301.0,19.0,SENGKANG,3106
CLEANER,F,1851,560440.0,20.0,ANG MO KIO,7475
PLANT AND MACHINE,M,1476,311139.0,12.0,TOA PAYOH,6314
PLANT AND MACHINE,F,1819,249570.0,10.0,TANGLIN,2485
SERVICE,F,1271,258343.0,10.0,NEWTON,6716
CLEANER,F,1214,118892.0,5.0,QUEENSTOWN,5904
SERVICE,M,1118,640198.0,22.0,JURONG WEST,6705
CLERICAL,F,1459,680768.0,23.0,CHOA CHU KANG,4365
SERVICE,M,1243,806064.0,28.0,SERANGOON,5741
SERVICE,F,1062,823665.0,19.0,PUNGGOL,7534
CLEANER,M,1360,730707.0,25.0,WOODLANDS,400
CLEANER,F,1277,286784.0,11.0,BUKIT TIMAH,5150
SERVICE,F,1292,127651.0,5.0,CLEMENTI,7094
PLANT AND MACHINE,F,1481,258670.0,10.0,TANGLIN,217
CRAFTS,F,931,789464.0,26.0,ANG MO KIO,7066
CLEANER,F,1712,138679.0,5.0,QUEENSTOWN,7093
CLEANER,M,1282,556112.0,19.0,SERANGOON,7399
SERVICE,F,1384,429070.0,15.0,BEDOK,4270
TECHNICIAN,F,1177,610181.0,22.0,JURONG WEST,1029
PLANT AND MACHINE,F,1138,359603.0,13.0,SERANGOON,6974
TECHNICIAN,F,1323,271030.0,10.0,QUEENSTOWN,7104
PLANT AND MACHINE,F,1311,120518.0,5.0,CLEMENTI,6149
PLANT AND MACHINE,F,1076,238096.0,9.0,RIVER VALLEY,5045
SECURITY,M,1848,150101.0,3.0,BUKIT MERAH,5520
SERVICE,F,1225,486672.0,16.0,TAMPINES,4502
SERVICE,F,1352,550531.0,19.0,SERANGOON,5243
CLERICAL,F,2049,478930.0,16.0,BEDOK,5581
SERVICE,F,1219,219388.0,8.0,KALLANG,7842
SECURITY,M,1729,449286.0,15.0,BEDOK,6085
SECURITY,F,1862,259788.0,10.0,TANGLIN,6579
SERVICE,F,1360,359622.0,13.0,SERANGOON,4477
SERVICE,M,1239,458258.0,15.0,BEDOK,7434
CLERICAL,F,2150,519959.0,18.0,PASIR RIS,7950
OTHER,F,1199,78878.0,2.0,DOWNTOWN CORE,6107
SERVICE,M,1010,320018.0,12.0,KALLANG,5630
SECURITY,F,1594,277993.0,10.0,BUKIT TIMAH,4389
CLERICAL,F,1897,160007.0,3.0,BUKIT MERAH,7487
SECURITY,F,1582,207853.0,8.0,KALLANG,5807
PLANT AND MACHINE,F,2061,469977.0,16.0,BEDOK,4413
SERVICE,M,1417,541223.0,19.0,SENGKANG,4139
CLERICAL,M,1513,416943.0,14.0,BEDOK,7929
SERVICE,F,1324,229414.0,9.0,NEWTON,6357
CLEANER,M,1052,510225.0,18.0,PASIR RIS,645
CRAFTS,M,1043,570446.0,20.0,BISHAN,4529
CLERICAL,F,1877,598429.0,21.0,BUKIT TIMAH,7439
SECURITY,F,1619,489141.0,16.0,BEDOK,4614
CLEANER,F,1114,129201.0,5.0,CLEMENTI,5192
PLANT AND MACHINE,F,1490,640420.0,22.0,JURONG WEST,6029
CRAFTS,M,1123,466990.0,16.0,BEDOK,6905
SERVICE,M,1240,127506.0,5.0,CLEMENTI,7242
TECHNICIAN,M,1777,249115.0,10.0,TANGLIN,6078
SERVICE,F,1037,597357.0,21.0,CLEMENTI,6305
CLEANER,F,1171,436919.0,15.0,KALLANG,958
CLERICAL,F,1405,276954.0,10.0,BUKIT TIMAH,8035
SERVICE,M,1246,384003.0,14.0,KALLANG,7661
CLEANER,F,1281,520875.0,18.0,TAMPINES,6100
PLANT AND MACHINE,M,1234,530542.0,19.0,HOUGANG,6733
CLEANER,F,1155,520726.0,18.0,TAMPINES,4937
OTHER,F,1428,520714.0,18.0,TAMPINES,6408
OTHER,M,1241,823312.0,19.0,PUNGGOL,6956
TECHNICIAN,F,1107,760606.0,27.0,YISHUN,5889
CLERICAL,F,1709,308364.0,11.0,NOVENA,5477
CLERICAL,F,1669,541201.0,19.0,SENGKANG,5762
TECHNICIAN,F,1264,467677.0,16.0,BEDOK,5147
CLERICAL,F,2127,600050.0,22.0,JURONG EAST,7151
SERVICE,M,1328,98616.0,4.0,SOUTHERN ISLANDS,7265
SECURITY,F,1259,518245.0,18.0,PASIR RIS,7744
CRAFTS,F,1175,161055.0,3.0,BUKIT MERAH,6820
PLANT AND MACHINE,M,1514,248362.0,10.0,TANGLIN,7857
TECHNICIAN,F,1590,526856.0,18.0,TAMPINES,5391
CLERICAL,M,1257,521146.0,18.0,TAMPINES,3562
CLEANER,M,980,239230.0,9.0,RIVER VALLEY,5458
CLERICAL,M,1796,200816.0,8.0,KALLANG,2453
CLERICAL,F,1651,399939.0,14.0,GEYLANG,4247
CLEANER,M,1162,533476.0,19.0,HOUGANG,3880
CLERICAL,F,1647,821227.0,19.0,PUNGGOL,5909
SERVICE,F,1259,239194.0,9.0,RIVER VALLEY,4770
CLERICAL,M,1650,239568.0,9.0,RIVER VALLEY,4813
CLEANER,M,1038,238255.0,9.0,SINGAPORE RIVER,7465
CLERICAL,F,1372,417582.0,14.0,BEDOK,4045
SERVICE,F,1138,238257.0,9.0,SINGAPORE RIVER,627
SECURITY,F,1387,578578.0,20.0,BISHAN,5851
CLERICAL,F,2262,589650.0,21.0,BUKIT TIMAH,5800
SECURITY,M,1908,738301.0,25.0,WOODLANDS,6467
CLEANER,F,1523,538114.0,19.0,HOUGANG,978
PLANT AND MACHINE,M,1854,761671.0,27.0,YISHUN,3268
CLEANER,M,1317,288708.0,11.0,BUKIT TIMAH,3758
TECHNICIAN,F,1580,579642.0,20.0,BISHAN,6639
CLERICAL,F,1374,339849.0,12.0,KALLANG,7171
CLEANER,M,1042,400032.0,14.0,GEYLANG,7919
CLERICAL,F,2287,669619.0,23.0,BUKIT BATOK,5414
SERVICE,M,1171,787080.0,26.0,ANG MO KIO,4626
SECURITY,M,2006,750357.0,27.0,SEMBAWANG,4482
CLEANER,F,1247,510231.0,18.0,PASIR RIS,6918
SERVICE,F,986,229955.0,9.0,NEWTON,7112
CLERICAL,F,2091,454946.0,15.0,BEDOK,1975
PLANT AND MACHINE,F,1833,787080.0,26.0,ANG MO KIO,7400
PLANT AND MACHINE,M,1728,278435.0,10.0,BUKIT TIMAH,4712
SECURITY,F,1745,180262.0,7.0,ROCHOR,4854
CLERICAL,F,1848,269293.0,10.0,BUKIT TIMAH,5036
CLEANER,M,1151,269296.0,10.0,BUKIT TIMAH,6655
SECURITY,F,1883,,,,2288
SERVICE,M,1568,520163.0,18.0,TAMPINES,7992
OTHER,M,1419,760454.0,27.0,YISHUN,4284
OTHER,M,1306,437919.0,15.0,MARINE PARADE,7231
TECHNICIAN,M,1800,437921.0,15.0,MARINE PARADE,5499
SERVICE,M,1267,425191.0,15.0,BEDOK,6896
SERVICE,M,1358,439829.0,15.0,MARINE PARADE,4585
CRAFTS,M,1350,579726.0,20.0,TOA PAYOH,2684
SECURITY,F,1462,609782.0,22.0,JURONG EAST,6659
PLANT AND MACHINE,M,1195,609783.0,22.0,JURONG EAST,6828
PLANT AND MACHINE,F,1878,469983.0,16.0,BEDOK,7067
SERVICE,F,1160,510582.0,18.0,PASIR RIS,5177
SERVICE,M,1285,791468.0,28.0,SENGKANG,5314
TECHNICIAN,F,1180,229546.0,9.0,NEWTON,4655
CLEANER,F,837,98449.0,4.0,SOUTHERN ISLANDS,5882
CLEANER,M,1264,575572.0,20.0,BISHAN,6796
SERVICE,F,1336,140090.0,3.0,QUEENSTOWN,6381
PLANT AND MACHINE,F,1916,689048.0,23.0,CHOA CHU KANG,6235
SERVICE,F,1147,238307.0,9.0,RIVER VALLEY,7359
SERVICE,M,1056,357741.0,13.0,TOA PAYOH,4639
SERVICE,F,1141,238307.0,9.0,RIVER VALLEY,6846
SERVICE,M,1069,550427.0,19.0,SERANGOON,1275
PLANT AND MACHINE,F,1461,239226.0,9.0,RIVER VALLEY,4410
CLEANER,M,1195,528811.0,18.0,TAMPINES,6817
SERVICE,F,1087,598731.0,21.0,BUKIT BATOK,6583
TECHNICIAN,M,1409,806746.0,28.0,ANG MO KIO,5579
SECURITY,F,2286,509062.0,17.0,PASIR RIS,7447
SECURITY,M,2299,510415.0,18.0,PASIR RIS,6176
CLERICAL,F,1905,309568.0,11.0,NOVENA,4397
SERVICE,F,1375,425408.0,15.0,BEDOK,7997
SECURITY,M,2002,449305.0,15.0,MARINE PARADE,4560
CLEANER,F,1200,389456.0,14.0,GEYLANG,4535
PLANT AND MACHINE,F,1718,576193.0,20.0,BISHAN,5265
CLERICAL,F,1827,271021.0,10.0,QUEENSTOWN,7468
PLANT AND MACHINE,M,957,98373.0,4.0,SOUTHERN ISLANDS,7506
SERVICE,M,1240,640866.0,22.0,JURONG WEST,7068
CRAFTS,F,1290,543269.0,19.0,SENGKANG,5037
CLERICAL,F,1634,544185.0,19.0,SENGKANG,4699
SECURITY,F,1864,528771.0,18.0,TAMPINES,4595
PLANT AND MACHINE,F,1589,522515.0,18.0,TAMPINES,3193
PLANT AND MACHINE,F,1567,519491.0,18.0,PASIR RIS,5888
TECHNICIAN,F,1395,659245.0,23.0,BUKIT BATOK,6570
SECURITY,M,1582,519493.0,18.0,PASIR RIS,2166
SERVICE,M,1379,588912.0,21.0,BUKIT TIMAH,4418
CLEANER,M,1136,828816.0,19.0,PUNGGOL,6280
SECURITY,M,1705,738207.0,25.0,WOODLANDS,5594
CLEANER,F,1375,258482.0,10.0,TANGLIN,4550
SECURITY,M,1867,238309.0,9.0,RIVER VALLEY,6717
CRAFTS,F,1221,257536.0,10.0,TANGLIN,7360
CLERICAL,F,1983,596230.0,21.0,BUKIT BATOK,3741
PLANT AND MACHINE,F,1612,436925.0,15.0,KALLANG,6849
CLERICAL,M,2073,268432.0,10.0,BUKIT TIMAH,5052
SERVICE,M,1369,530515.0,19.0,HOUGANG,420
CLERICAL,M,1456,436896.0,15.0,KALLANG,5333
TECHNICIAN,F,1977,679043.0,23.0,BUKIT PANJANG,5622
SERVICE,F,1329,598671.0,21.0,BUKIT TIMAH,7510
CLERICAL,M,2351,788019.0,26.0,YISHUN,5352
SECURITY,F,1909,654443.0,23.0,BUKIT BATOK,5785
CLERICAL,F,1856,550425.0,19.0,SERANGOON,5328
SECURITY,M,1607,530973.0,19.0,HOUGANG,4590
SERVICE,F,953,259292.0,10.0,TANGLIN,6376
PLANT AND MACHINE,F,1673,259295.0,10.0,TANGLIN,7852
SERVICE,M,1176,150005.0,3.0,BUKIT MERAH,6673
SECURITY,M,1536,440062.0,15.0,MARINE PARADE,7737
OTHER,M,1152,440071.0,15.0,MARINE PARADE,61
PLANT AND MACHINE,F,1426,598368.0,21.0,BUKIT TIMAH,2409
SERVICE,M,1089,259821.0,10.0,TANGLIN,66
SECURITY,M,1846,820132.0,19.0,PUNGGOL,1487
SERVICE,M,1241,509637.0,17.0,PASIR RIS,5968
PLANT AND MACHINE,F,1665,670110.0,23.0,BUKIT PANJANG,7366
PLANT AND MACHINE,M,1890,270005.0,10.0,QUEENSTOWN,6417
PLANT AND MACHINE,F,1069,609774.0,22.0,JURONG EAST,7257
CLEANER,F,1243,270005.0,10.0,QUEENSTOWN,2697
SERVICE,M,1207,429528.0,15.0,MARINE PARADE,6380
SECURITY,M,1586,109685.0,4.0,BUKIT MERAH,689
SERVICE,M,1036,102111.0,4.0,BUKIT MERAH,6826
PLANT AND MACHINE,M,1290,259855.0,10.0,TANGLIN,3903
CLEANER,M,1308,424775.0,15.0,MARINE PARADE,3210
SERVICE,M,1259,310062.0,12.0,TOA PAYOH,7207
SERVICE,F,1025,289009.0,11.0,BUKIT TIMAH,5360
CLEANER,F,1378,229920.0,9.0,NEWTON,6839
PLANT AND MACHINE,F,1442,458553.0,15.0,BEDOK,4960
CLEANER,M,1457,651289.0,23.0,BUKIT BATOK,1882
CLEANER,F,1212,520924.0,18.0,TAMPINES,7649
SERVICE,M,1378,267533.0,10.0,BUKIT TIMAH,2461
PLANT AND MACHINE,M,1456,248362.0,10.0,TANGLIN,6134
CLERICAL,F,1634,436918.0,15.0,KALLANG,5993
PLANT AND MACHINE,F,1635,248360.0,10.0,TANGLIN,6730
CLERICAL,M,1678,528718.0,18.0,TAMPINES,7749
SERVICE,F,1187,465497.0,16.0,BEDOK,4858
SECURITY,M,1930,570102.0,20.0,BISHAN,5410
SECURITY,M,1917,600226.0,22.0,JURONG EAST,4972
SERVICE,F,1259,150068.0,3.0,BUKIT MERAH,4316
SECURITY,F,1901,129519.0,5.0,CLEMENTI,5530
PLANT AND MACHINE,F,1524,400411.0,14.0,GEYLANG,7520
SERVICE,M,1513,249614.0,10.0,TANGLIN,6602
CLERICAL,F,1929,823622.0,19.0,PUNGGOL,8005
SERVICE,M,1240,270026.0,10.0,QUEENSTOWN,4158
CLEANER,M,1104,126987.0,5.0,CLEMENTI,7991
CLERICAL,F,1302,271023.0,10.0,QUEENSTOWN,6957
SERVICE,M,1083,518087.0,18.0,PASIR RIS,8069
SERVICE,M,1141,138687.0,5.0,QUEENSTOWN,6065
CLEANER,F,1659,542261.0,19.0,SENGKANG,2890
CLERICAL,M,1486,520888.0,18.0,TAMPINES,4786
PLANT AND MACHINE,M,1581,238145.0,9.0,RIVER VALLEY,4894
SERVICE,F,1286,518146.0,18.0,PASIR RIS,6825
CLEANER,M,1035,524518.0,18.0,TAMPINES,6611
CLERICAL,F,1837,518146.0,18.0,PASIR RIS,4836
CLEANER,F,979,750424.0,27.0,SEMBAWANG,7705
PLANT AND MACHINE,M,1344,270003.0,10.0,QUEENSTOWN,4497
SECURITY,M,2019,228196.0,9.0,ROCHOR,4554
CLEANER,F,1587,506881.0,17.0,PASIR RIS,7516
CLERICAL,F,1684,436748.0,15.0,MARINE PARADE,5769
CLERICAL,M,1311,248730.0,10.0,TANGLIN,6678
PLANT AND MACHINE,F,1666,550542.0,19.0,SERANGOON,2411
PLANT AND MACHINE,M,1434,439969.0,15.0,MARINE PARADE,4805
OTHER,M,1337,238591.0,9.0,RIVER VALLEY,6365
CLEANER,F,867,787068.0,26.0,ANG MO KIO,7293
PLANT AND MACHINE,M,1752,536445.0,19.0,SERANGOON,5563
CLEANER,F,1399,458555.0,15.0,BEDOK,5164
PLANT AND MACHINE,F,1261,670440.0,23.0,BUKIT PANJANG,1540
CLEANER,F,1228,489074.0,16.0,BEDOK,4500
SERVICE,M,1176,758524.0,27.0,SEMBAWANG,7262
CRAFTS,M,1292,510500.0,18.0,PASIR RIS,6041
SECURITY,F,2042,436894.0,15.0,KALLANG,5553
SERVICE,F,1002,398408.0,14.0,GEYLANG,7054
PLANT AND MACHINE,M,946,418310.0,14.0,BEDOK,5667
PLANT AND MACHINE,F,1470,469990.0,16.0,BEDOK,6095
SERVICE,F,1373,544250.0,19.0,SENGKANG,6623
CLEANER,M,819,650299.0,23.0,BUKIT BATOK,4159
SERVICE,F,1098,541290.0,19.0,SENGKANG,5898
SERVICE,F,1215,239619.0,9.0,MUSEUM,6571
SERVICE,M,1360,470631.0,16.0,BEDOK,84
PLANT AND MACHINE,M,1390,640859.0,22.0,JURONG WEST,5626
CLEANER,F,1226,238361.0,9.0,RIVER VALLEY,5306
CLEANER,M,1299,760390.0,27.0,YISHUN,4719
CLEANER,F,1154,768316.0,27.0,YISHUN,5309
SERVICE,F,1069,289844.0,11.0,BUKIT TIMAH,6281
CLERICAL,M,1985,760662.0,27.0,YISHUN,5373
PLANT AND MACHINE,M,2384,258208.0,10.0,TANGLIN,4998
TECHNICIAN,F,1444,642683.0,22.0,JURONG WEST,1319
OTHER,F,1219,259959.0,10.0,NEWTON,6017
SERVICE,F,1143,820116.0,19.0,PUNGGOL,4741
CLEANER,F,1461,570289.0,20.0,BISHAN,764
CLERICAL,M,1891,141026.0,3.0,QUEENSTOWN,4991
CLERICAL,M,1615,436894.0,15.0,KALLANG,5955
SERVICE,M,1331,150068.0,3.0,BUKIT MERAH,7596
SERVICE,M,990,757246.0,27.0,SEMBAWANG,6727
SECURITY,F,2103,680657.0,23.0,CHOA CHU KANG,6850
PLANT AND MACHINE,F,1576,140184.0,3.0,QUEENSTOWN,7316
CLERICAL,M,1525,439947.0,15.0,MARINE PARADE,4606
SERVICE,F,1375,579488.0,20.0,ANG MO KIO,1057
CLERICAL,M,1713,641197.0,22.0,JURONG WEST,6798
CLERICAL,M,2332,670503.0,23.0,BUKIT PANJANG,5582
PLANT AND MACHINE,F,1318,539863.0,19.0,HOUGANG,7461
CLERICAL,M,1964,169481.0,3.0,BUKIT MERAH,6855
PLANT AND MACHINE,M,1361,545021.0,19.0,HOUGANG,7959
OTHER,M,1474,258127.0,10.0,NEWTON,2912
CLEANER,F,1221,579355.0,20.0,BISHAN,5129
SERVICE,F,1197,589486.0,21.0,BUKIT TIMAH,5868
SERVICE,F,1176,163119.0,3.0,BUKIT MERAH,6619
CLEANER,M,1148,588195.0,21.0,BUKIT BATOK,4040
CLEANER,F,1369,574847.0,20.0,ANG MO KIO,4042
CLERICAL,M,1681,522856.0,18.0,TAMPINES,2148
SERVICE,F,1163,449286.0,15.0,BEDOK,2907
OTHER,F,1225,419546.0,14.0,BEDOK,7384
CLEANER,F,1294,465662.0,16.0,BEDOK,7756
PLANT AND MACHINE,M,1227,119174.0,5.0,QUEENSTOWN,7641
SERVICE,M,1272,359740.0,13.0,SERANGOON,4383
OTHER,F,999,98639.0,4.0,BUKIT MERAH,4411
PLANT AND MACHINE,F,1125,308225.0,11.0,NOVENA,5338
CLERICAL,F,2033,820115.0,19.0,PUNGGOL,5944
CLEANER,M,1257,238359.0,9.0,RIVER VALLEY,7376
CLERICAL,M,2212,824109.0,19.0,PUNGGOL,6601
CLEANER,M,1506,248468.0,10.0,TANGLIN,6026
SERVICE,M,1277,100084.0,4.0,BUKIT MERAH,225
CRAFTS,F,967,510459.0,18.0,PASIR RIS,4791
OTHER,M,1500,808862.0,28.0,SERANGOON,6671
TECHNICIAN,F,1598,762428.0,27.0,YISHUN,4528
SERVICE,F,1028,768961.0,27.0,YISHUN,6059
TECHNICIAN,F,1031,557752.0,19.0,SERANGOON,7628
SERVICE,M,1281,58416.0,1.0,SINGAPORE RIVER,4129
CRAFTS,F,1348,98415.0,4.0,BUKIT MERAH,4445
SERVICE,M,1160,286702.0,11.0,BUKIT TIMAH,7174
PLANT AND MACHINE,F,1897,259710.0,10.0,TANGLIN,1926
SERVICE,M,1516,738210.0,25.0,WOODLANDS,3700
CLEANER,F,1261,521125.0,18.0,TAMPINES,5418
CRAFTS,M,1234,427905.0,15.0,GEYLANG,7539
SECURITY,F,1787,180233.0,7.0,DOWNTOWN CORE,220
TECHNICIAN,M,1590,458556.0,15.0,BEDOK,5835
PLANT AND MACHINE,M,1746,458555.0,15.0,BEDOK,4351
CLERICAL,M,1505,540156.0,19.0,SENGKANG,6610
SERVICE,M,1222,768894.0,27.0,YISHUN,5716
CLERICAL,M,2398,460018.0,16.0,BEDOK,4857
SECURITY,F,2100,448908.0,15.0,BEDOK,6002
CLEANER,M,1036,238257.0,9.0,SINGAPORE RIVER,4795
CLERICAL,M,1548,259959.0,10.0,NEWTON,7313
PLANT AND MACHINE,M,1970,238257.0,9.0,SINGAPORE RIVER,5593
CLERICAL,F,1551,554861.0,19.0,SERANGOON,6578
TECHNICIAN,F,1620,541269.0,19.0,SENGKANG,5713
PLANT AND MACHINE,M,1407,330063.0,12.0,KALLANG,4296
SECURITY,F,1618,689672.0,23.0,CHOA CHU KANG,4885
SERVICE,F,944,238309.0,9.0,RIVER VALLEY,6024
CLEANER,F,1275,120706.0,5.0,CLEMENTI,7187
CLEANER,F,1204,310222.0,12.0,TOA PAYOH,4967
SERVICE,F,1284,538166.0,19.0,HOUGANG,5727
SERVICE,F,1122,308649.0,11.0,NOVENA,4553
CLERICAL,F,2175,424895.0,15.0,MARINE PARADE,6612
CLEANER,M,1195,159958.0,3.0,QUEENSTOWN,7914
SECURITY,F,1576,159958.0,3.0,QUEENSTOWN,2928
CLEANER,M,1495,227945.0,,,5112
OTHER,F,1514,678823.0,23.0,BUKIT PANJANG,4838
SECURITY,F,1631,437431.0,15.0,KALLANG,7937
SECURITY,F,1693,543298.0,19.0,SENGKANG,413
TECHNICIAN,F,969,299450.0,11.0,NOVENA,939
SERVICE,F,1275,139007.0,5.0,QUEENSTOWN,5957
OTHER,F,1339,528716.0,18.0,TAMPINES,4313
SERVICE,F,1400,466502.0,16.0,BEDOK,6966
CLEANER,M,1242,329216.0,12.0,NOVENA,6229
SERVICE,F,1191,277116.0,10.0,BUKIT TIMAH,4755
SERVICE,F,1106,575628.0,20.0,BISHAN,4386
CLEANER,F,1171,127452.0,5.0,CLEMENTI,901
TECHNICIAN,F,1960,449306.0,15.0,MARINE PARADE,6063
PLANT AND MACHINE,M,877,436925.0,15.0,KALLANG,7212
CLEANER,F,1456,127723.0,5.0,CLEMENTI,4692
CLERICAL,M,1697,437436.0,15.0,KALLANG,4249
CLEANER,F,1335,359755.0,13.0,SERANGOON,6289
CLEANER,M,1325,431011.0,15.0,KALLANG,7949
SERVICE,M,1128,85101.0,2.0,OUTRAM,8014
CLEANER,F,1326,426584.0,15.0,GEYLANG,4580
SERVICE,F,1023,760403.0,27.0,YISHUN,2071
SERVICE,M,1250,424775.0,15.0,MARINE PARADE,7765
SERVICE,M,1128,519288.0,18.0,PASIR RIS,6321
CLERICAL,F,1923,788867.0,26.0,ANG MO KIO,2714
PLANT AND MACHINE,F,1839,530019.0,19.0,HOUGANG,5731
CLERICAL,F,1821,249152.0,10.0,RIVER VALLEY,4694
CLERICAL,F,1629,286782.0,11.0,BUKIT TIMAH,2446
SECURITY,M,1671,286779.0,11.0,BUKIT TIMAH,7337
PLANT AND MACHINE,F,1420,298127.0,11.0,NOVENA,7096
SECURITY,F,2058,239896.0,9.0,RIVER VALLEY,5974
CLEANER,M,1299,229668.0,9.0,NEWTON,7495
SERVICE,M,1106,589473.0,21.0,BUKIT TIMAH,1411
CLERICAL,M,1778,190462.0,7.0,KALLANG,5899
SERVICE,F,1271,258482.0,10.0,TANGLIN,4763
OTHER,F,1182,640813.0,22.0,JURONG WEST,8059
SERVICE,M,1349,670504.0,23.0,BUKIT PANJANG,5232
TECHNICIAN,F,1434,681672.0,23.0,CHOA CHU KANG,5895
SERVICE,F,1204,239403.0,9.0,SINGAPORE RIVER,4566
SERVICE,F,1472,277055.0,10.0,BUKIT TIMAH,5483
CLEANER,M,1510,659445.0,23.0,BUKIT BATOK,6628
SERVICE,M,1184,650512.0,23.0,BUKIT BATOK,5844
SERVICE,F,1366,120602.0,5.0,CLEMENTI,5859
SERVICE,F,1229,528691.0,18.0,TAMPINES,5595
SERVICE,F,1287,329141.0,12.0,NOVENA,6011
CLERICAL,F,1506,644660.0,22.0,JURONG WEST,6363
SERVICE,F,934,319582.0,12.0,TOA PAYOH,1042
CLERICAL,F,1995,238359.0,9.0,RIVER VALLEY,5198
SERVICE,M,1251,249614.0,10.0,TANGLIN,7568
PLANT AND MACHINE,F,1216,276784.0,10.0,BUKIT TIMAH,6638
PLANT AND MACHINE,M,1738,276804.0,10.0,BUKIT TIMAH,7664
TECHNICIAN,F,1483,439944.0,15.0,MARINE PARADE,4903
CLEANER,F,1265,439946.0,15.0,MARINE PARADE,6014
SERVICE,F,1430,828764.0,19.0,PUNGGOL,4237
SECURITY,M,1710,299560.0,11.0,NOVENA,5704
SERVICE,M,1183,437431.0,15.0,KALLANG,4521
TECHNICIAN,M,1664,530637.0,19.0,HOUGANG,5848
OTHER,F,1261,659247.0,23.0,BUKIT BATOK,6391
SERVICE,M,1118,567800.0,20.0,ANG MO KIO,7390
PLANT AND MACHINE,F,1206,259136.0,10.0,TANGLIN,4304
CLEANER,F,1344,469987.0,16.0,BEDOK,5624
SERVICE,M,1160,258346.0,10.0,TANGLIN,1132
CLEANER,F,807,458979.0,15.0,BEDOK,6910
SECURITY,M,1616,596231.0,21.0,BUKIT BATOK,7403
SERVICE,F,917,521134.0,18.0,TAMPINES,4841
SERVICE,F,1205,298027.0,11.0,NOVENA,7347
PLANT AND MACHINE,M,1121,278735.0,10.0,BUKIT TIMAH,5043
SECURITY,M,1752,528800.0,18.0,TAMPINES,5884
CLEANER,F,1226,436925.0,15.0,KALLANG,3613
CLERICAL,M,2265,541330.0,19.0,SENGKANG,7777
SECURITY,F,1655,320062.0,12.0,NOVENA,3437
SERVICE,F,1408,671635.0,23.0,BUKIT PANJANG,4353
PLANT AND MACHINE,M,1402,532477.0,19.0,HOUGANG,4915
CLEANER,F,1507,670484.0,23.0,BUKIT PANJANG,5093
CLERICAL,M,2080,736786.0,25.0,WOODLANDS,4932
SERVICE,F,1318,268199.0,10.0,BUKIT TIMAH,4994
SERVICE,F,1123,427037.0,15.0,MARINE PARADE,4027
CLEANER,F,1471,760603.0,27.0,YISHUN,5506
PLANT AND MACHINE,M,1807,768143.0,27.0,YISHUN,6916
CLERICAL,M,2192,424126.0,15.0,BEDOK,5501
CLEANER,M,1340,680121.0,23.0,CHOA CHU KANG,4825
SECURITY,M,1753,659637.0,23.0,BUKIT BATOK,878
TECHNICIAN,F,1228,320003.0,12.0,KALLANG,5546
SERVICE,F,1322,650214.0,23.0,BUKIT BATOK,7939
CLEANER,F,1279,600269.0,22.0,JURONG EAST,4673
SECURITY,M,1690,277012.0,10.0,BUKIT TIMAH,5072
CLERICAL,M,1352,239974.0,9.0,RIVER VALLEY,1379
SERVICE,M,1135,210013.0,8.0,KALLANG,6119
TECHNICIAN,M,1380,541309.0,19.0,SENGKANG,5494
SERVICE,F,1294,169586.0,3.0,BUKIT MERAH,5987
SERVICE,F,1432,678948.0,23.0,BUKIT PANJANG,6076
CLEANER,F,1048,570207.0,20.0,BISHAN,6614
SERVICE,M,1096,219014.0,8.0,KALLANG,5588
OTHER,M,1275,158749.0,3.0,BUKIT MERAH,5947
SECURITY,F,2078,510714.0,18.0,PASIR RIS,6546
TECHNICIAN,F,1687,400336.0,14.0,GEYLANG,4936
CLEANER,F,878,130022.0,5.0,QUEENSTOWN,7281
CLERICAL,M,1662,268820.0,10.0,TANGLIN,4539
CLERICAL,F,1917,761342.0,27.0,YISHUN,7913
CRAFTS,M,1339,536467.0,19.0,SERANGOON,5456
SERVICE,F,1181,805726.0,28.0,SERANGOON,7193
SERVICE,F,1004,310010.0,12.0,TOA PAYOH,5293
SERVICE,F,1541,267491.0,10.0,BUKIT TIMAH,6344
